Riversystem mini_uTAHPS_qmin reservoir fractions [fr] 
YYYY MM DD HH HJELLE 
2023 12 31 10 0.6408 
2023 12 31 11 0.6408 
2023 12 31 12 0.6408 
2023 12 31 13 0.6407 
2023 12 31 14 0.6407 
2023 12 31 15 0.6406 
2023 12 31 16 0.6406 
2023 12 31 17 0.6406 
2023 12 31 18 0.6405 
2023 12 31 19 0.6405 
2023 12 31 20 0.6404 
2023 12 31 21 0.6404 
2023 12 31 22 0.6404 
2023 12 31 23 0.6403 
2024 1 1 0 0.6403 
2024 1 1 1 0.6402 
2024 1 1 2 0.6402 
2024 1 1 3 0.6402 
2024 1 1 4 0.6401 
2024 1 1 5 0.6401 
2024 1 1 6 0.6400 
2024 1 1 7 0.6400 
2024 1 1 8 0.6400 
2024 1 1 9 0.6399 
2024 1 1 10 0.6399 
2024 1 1 11 0.6398 
2024 1 1 12 0.6398 
2024 1 1 13 0.6398 
2024 1 1 14 0.6397 
2024 1 1 15 0.6397 
2024 1 1 16 0.6396 
2024 1 1 17 0.6396 
2024 1 1 18 0.6396 
2024 1 1 19 0.6395 
2024 1 1 20 0.6395 
2024 1 1 21 0.6394 
2024 1 1 22 0.6394 
2024 1 1 23 0.6394 
2024 1 2 0 0.6393 
2024 1 2 1 0.6393 
2024 1 2 2 0.6392 
2024 1 2 3 0.6392 
2024 1 2 4 0.6392 
2024 1 2 5 0.6391 
2024 1 2 6 0.6391 
2024 1 2 7 0.6390 
2024 1 2 8 0.6390 
2024 1 2 9 0.6390 
2024 1 2 10 0.6389 
2024 1 2 11 0.6389 
2024 1 2 12 0.6388 
2024 1 2 13 0.6388 
2024 1 2 14 0.6388 
2024 1 2 15 0.6387 
2024 1 2 16 0.6387 
2024 1 2 17 0.6386 
2024 1 2 18 0.6386 
2024 1 2 19 0.6386 
2024 1 2 20 0.6385 
2024 1 2 21 0.6385 
2024 1 2 22 0.6384 
2024 1 2 23 0.6384 
2024 1 3 0 0.6384 
2024 1 3 1 0.6383 
2024 1 3 2 0.6383 
2024 1 3 3 0.6382 
2024 1 3 4 0.6382 
2024 1 3 5 0.6382 
2024 1 3 6 0.6381 
2024 1 3 7 0.6381 
2024 1 3 8 0.6380 
2024 1 3 9 0.6380 
2024 1 3 10 0.6380 
2024 1 3 11 0.6379 
2024 1 3 12 0.6379 
2024 1 3 13 0.6378 
2024 1 3 14 0.6378 
2024 1 3 15 0.6378 
2024 1 3 16 0.6377 
2024 1 3 17 0.6377 
2024 1 3 18 0.6376 
2024 1 3 19 0.6376 
2024 1 3 20 0.6376 
2024 1 3 21 0.6375 
2024 1 3 22 0.6375 
2024 1 3 23 0.6374 
2024 1 4 0 0.6374 
2024 1 4 1 0.6374 
2024 1 4 2 0.6373 
2024 1 4 3 0.6373 
2024 1 4 4 0.6372 
2024 1 4 5 0.6372 
2024 1 4 6 0.6372 
2024 1 4 7 0.6371 
2024 1 4 8 0.6371 
2024 1 4 9 0.6371 
2024 1 4 10 0.6370 
